trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-308.8913692771908,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-134.9429481683848,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-159.72194398993219,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-171.49885780055575,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-126.31347609804135,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-33.48428664195535,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-220.00763307694083,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-147.11549672629332,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-8.95520434858832,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-4.875517251971157,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-75.17089974210718,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-43.72277438350902,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-60.79229567895563,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,20.0295225993576,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,8.555808843581179,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,12.536666653641305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,26.912608414086925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-65.42832681841855,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-24.046564326776558,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,36.21689429914999,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,22.599243216816227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-33.15278406491433,"{0: 29, 1: 3, 2: 1, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.047427595505646,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,6.722384042636495,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-74.0273564476927,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,23.900719669481926,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.73271695795846,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-28.503672533232578,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.86021560804551,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,29.57965060010818,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
