trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",25,20,8.700910833968207,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-101.80366137209992,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-131.17217309740087,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",25,0,-77.4725876507938,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,6,-46.39529286121174,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-133.70119783844422,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,13,-5.865830832952612,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-99.74896012157423,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",25,0,-151.36424520456282,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-98.1984713515759,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",20,0,-85.6562416249556,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",30,0,-153.7617188435139,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",30,0,-214.29057691182965,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-87.19748022340734,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,4,-53.553129261316734,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",25,5,-53.290945073737994,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",30,0,-135.0021457198001,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-80.13217517101307,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981179362242806}",20,11,-12.121789437011154,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-113.9509288531091,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,6,-80.08428441612398,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.97824023505121}",20,0,-158.25178573748664,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9772624837732771}",20,0,-83.1632689877916,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,6,-139.23728649509664,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
25,False,"{'a': 0.5, 'e': 0.9753099120283326}",30,0,-138.3315581652729,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9743350896087494}",25,0,-131.5905802880181,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-108.97197636826984,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9723883668012469}",30,0,-261.1090300994151,"{0: 14, 1: 1, 2: 10, 3: 1, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9714164644666048}",20,0,-57.51768734661863,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-101.47258958080727,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9694755730760259}",20,0,-115.32654897368053,"{0: 10, 1: 6, 2: 0, 3: 3, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,1,-186.1504459350131,"{0: 9, 1: 8, 2: 4, 3: 0, 4: 3}",1
33,False,"{'a': 0.5, 'e': 0.967538559589032}",30,0,-212.15066135663494,"{0: 16, 1: 2, 2: 6, 3: 4, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9665715046375066}",20,0,-40.95074108516296,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-77.2180567752944,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9646402934831231}",30,0,-194.9701969877069,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9636761353490535}",25,0,-78.38169776429515,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9627129408911995}",25,0,-116.35036125831205,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9617507091463667}",20,0,-72.0891240423521,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-158.5607974322048,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
41,False,"{'a': 0.5, 'e': 0.9598291299477989}",35,0,-139.72535761611363,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-17.581030144372637,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9579113900670306}",35,0,-121.388411290174,"{0: 27, 1: 2, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9569539574730467}",20,0,-20.908252984404662,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-101.26791495724672,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9550419621907147}",35,0,-210.5880135950856,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9540873975903711}",25,0,-188.87004799109255,"{0: 9, 1: 4, 2: 8, 3: 3, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,0,-138.91844920885214,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9521811296985049}",25,13,-20.858419128445664,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-180.82009298951246,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.950278670532427}",35,2,-93.52167695846639,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9493288668428895}",25,0,-182.78193825271904,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9483800124822982}",30,0,-170.98690997924513,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9474321065017983}",30,0,-236.9952590297519,"{0: 15, 1: 2, 2: 7, 3: 3, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9464851479534838}",30,0,-28.14422880628491,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9455391358903963}",20,0,-154.6688473792342,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9445940693665233}",20,0,-74.48451418075155,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9436499474367985}",25,0,-82.65689305917536,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9427067691570997}",20,0,-71.22777410654007,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-122.83118318784481,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9408232397760097}",25,11,-101.77566281826124,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.9398828867910889}",25,0,-147.8494553632071,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-175.01579950766998,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-119.30469142159308,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-170.33597299890332,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,0,-52.064257044210414,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9351952013367766}",25,0,-109.00475842011723,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9342604735772135}",20,0,-110.09838620123243,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.933326680078202}",20,0,-83.37658198837165,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,2,-114.60186389831024,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.9314618921275921}",20,0,-82.340856317543,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9305308958112057}",20,0,-184.83910004880394,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9296008300257927}",25,0,-150.47800703018174,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9286716938412872}",25,0,-119.93529308636359,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-38.364581768834995,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9268162065593822}",30,0,-95.86391129591232,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9258898536064953}",20,11,-51.206199742811826,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-84.41795476921351,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9240399244450868}",20,0,-236.1638094130105,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
80,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-234.14449164935706,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
81,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-98.98563858210576,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9212719586963487}",25,0,-96.68637651494193,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9203511472201247}",20,0,-174.35616324170283,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,8,-31.663202383939357,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.9185122844014574}",25,1,-48.36810203065442,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.9175942312201509}",25,0,-108.51116996288427,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9166770956331523}",20,0,-48.985352601499805,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9157608767233256}",20,0,-33.35137263816707,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.914845573574452}",25,17,-47.292309421140615,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-131.6330247031858,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9130177108992658}",35,9,-218.90638180752597,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 4}",1
92,False,"{'a': 0.5, 'e': 0.9121051495450904}",30,0,-240.89363114410097,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
93,False,"{'a': 0.5, 'e': 0.9111935002961405}",20,0,-37.01840512920586,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.910282762240767}",20,0,-119.34429795438876,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9093729344682314}",30,0,-91.86692082572385,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9084640160687062}",25,0,-92.20930496851523,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9075560061332727}",25,0,-70.75073841664,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9066489037539209}",25,0,-95.86647315754045,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9057427080235485}",25,0,-114.79392903298282,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-156.6407846228652,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
