trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,16,-45.55461719897457,"{0: 5, 1: 1, 2: 1, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-99.56241095076332,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-101.4368340501791,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-110.05730318419424,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-66.14729661832425,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-137.66279899229752,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-128.61057851035932,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,9,-69.20554150735914,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-43.18119689107752,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-70.3547369939949,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-125.91037744728027,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-164.7048703481882,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",35,0,-132.37352637731948,"{0: 22, 1: 7, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-105.78899372455624,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-71.81882174765708,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-83.28829039809364,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-138.92233698887216,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",30,6,-9.204282524106437,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-127.48092481586625,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-80.84796983172633,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.58614222949525,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-65.34681028922978,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-152.48155636158447,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.41550135205358,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.970559451810644,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.71885116014349,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-215.27373780510578,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.14112448630507,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-89.61864919906918,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.37000732769458,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
